student_id,lms_logins_weekly,login_trend_slope,avg_assignment_delay_days,attendance_percent,attendance_trend,sentiment_score,study_session_variability,burnout_risk_level,dropout_probability
123,18,0.766,2.76,76.92,1.348,0.653,0.374,Low,0.156
124,6,0.166,7.13,76.53,1.433,0.044,0.449,Medium,0.248
125,14,0.246,4.33,73.55,-2.51,0.036,0.173,Low,0.221
126,21,-0.876,0.11,72.71,-2.932,0.373,0.306,Medium,0.279
127,8,-0.705,1.59,74.76,-0.0,0.135,0.669,Medium,0.311
128,10,1.439,1.27,66.34,3.584,0.645,0.317,Low,0.18
129,12,-0.588,0.93,72.15,3.399,0.615,0.257,Low,0.225
130,10,1.325,1.5,99.49,1.127,0.496,0.193,Low,0.074
131,6,-0.194,1.21,87.36,-1.46,-1.0,0.281,Medium,0.487
132,12,0.002,1.42,89.26,1.774,0.264,0.09,Low,0.123
133,8,0.856,9.69,91.77,-0.905,0.146,0.316,Low,0.191
134,14,1.018,0.23,98.34,-1.535,0.284,0.273,Low,0.097
135,8,-0.089,6.39,62.29,-4.288,-0.177,0.151,Medium,0.336
136,18,-0.311,1.64,67.7,0.205,-0.462,0.099,Medium,0.396
137,9,-0.045,2.44,71.96,-1.26,0.432,0.178,Low,0.183
138,11,0.27,4.43,75.3,0.193,0.022,0.13,Low,0.214
139,15,0.713,1.12,76.99,-4.599,0.487,0.354,Low,0.161
140,7,0.003,1.41,75.53,0.34,-0.135,0.053,Low,0.232
141,13,0.495,1.32,82.19,-4.862,0.908,0.077,Low,0.083
142,17,1.311,1.17,80.35,2.176,0.701,0.451,Low,0.137
143,6,0.305,6.49,72.77,1.044,0.348,0.185,Low,0.207
144,13,0.249,4.41,58.24,-0.557,0.093,0.404,Low,0.286
145,13,-1.215,0.29,70.07,1.125,0.626,0.097,Medium,0.287
146,15,-2.105,0.29,74.51,-1.956,0.396,0.516,High,0.43
147,7,0.311,1.4,77.53,0.145,0.319,0.314,Low,0.174
148,7,-0.076,0.26,68.7,1.59,0.721,0.322,Low,0.168
149,14,-0.412,2.41,75.09,-6.189,0.913,0.25,Low,0.174
150,13,0.195,0.39,68.69,-0.894,-0.426,0.125,Low,0.341
151,13,-0.048,1.85,78.74,-0.045,-0.325,0.22,Low,0.298
152,13,0.902,0.02,69.27,-0.393,-0.19,0.393,Low,0.287
153,9,0.069,0.95,71.51,2.914,-0.551,0.17,Medium,0.375
154,13,-0.598,2.83,66.91,-2.248,0.169,0.06,Medium,0.282
155,13,0.792,1.65,78.46,-1.242,0.5,0.251,Low,0.15
156,9,-0.174,9.57,71.34,-3.832,0.189,0.177,Medium,0.264
157,19,0.421,5.18,89.07,3.021,-0.067,0.355,Low,0.211
158,14,-0.382,1.11,84.06,-0.493,0.763,0.331,Low,0.153
159,7,-0.52,0.12,79.3,-0.877,0.27,0.113,Low,0.21
160,15,0.067,4.67,72.03,-0.105,0.371,0.377,Low,0.211
161,8,0.01,6.05,83.81,1.272,0.777,0.366,Low,0.14
162,15,0.384,4.3,86.91,0.695,0.138,0.43,Low,0.186
163,17,-0.215,0.34,81.43,5.296,1.0,0.402,Low,0.121
164,9,-1.469,10.0,96.04,0.908,-0.024,0.39,High,0.375
165,16,-0.346,0.75,84.6,-0.93,1.0,0.49,Low,0.134
166,14,0.635,3.22,89.14,-1.123,-0.287,0.544,Medium,0.279
167,15,-0.238,5.97,81.34,-0.786,0.459,0.308,Low,0.201
168,20,-0.197,0.67,86.76,-3.004,-0.121,0.346,Low,0.231
169,11,0.789,5.97,72.03,0.08,0.76,0.181,Low,0.166
170,9,-0.57,0.93,75.42,1.567,-0.039,0.096,Medium,0.27
171,8,-1.234,9.37,83.49,-1.227,0.345,0.357,Medium,0.344
172,9,-0.129,0.83,83.42,-1.615,-0.125,0.349,Low,0.236
173,12,-0.387,7.67,85.08,3.032,0.669,0.321,Low,0.196
174,13,-0.773,0.14,91.0,-2.853,-0.128,0.487,Medium,0.293
175,13,-0.14,3.09,65.75,-4.136,1.0,0.058,Low,0.155
176,15,0.393,1.9,70.26,-2.306,-0.298,0.391,Medium,0.327
177,12,-0.007,1.62,82.3,-3.081,-0.473,0.115,Low,0.316
178,18,0.246,0.63,72.76,0.772,0.676,0.373,Low,0.156
179,11,1.451,3.06,100.0,-0.721,-0.096,0.059,Low,0.147
180,23,-0.274,0.53,85.16,-0.439,0.196,0.331,Low,0.188
181,15,0.223,2.01,79.22,2.306,0.039,0.705,Low,0.229
182,9,-0.407,0.73,74.85,-1.383,-0.456,0.212,Medium,0.384
183,8,-0.677,7.79,75.2,1.55,0.162,0.179,Medium,0.302
184,14,-0.468,0.07,80.3,3.023,0.832,0.446,Low,0.172
185,11,-0.383,0.56,81.12,-0.911,0.702,0.376,Low,0.169
186,15,0.288,0.69,75.43,1.474,0.316,0.175,Low,0.167
187,14,1.879,1.34,77.27,-0.484,0.756,0.304,Low,0.132
188,12,-0.573,0.66,93.44,1.848,-0.33,0.301,Medium,0.31
189,9,-0.333,1.69,93.85,-3.143,0.037,0.39,Low,0.192
190,6,-0.05,5.15,82.52,-3.291,0.398,0.459,Low,0.188
191,10,0.317,3.11,66.59,-0.783,0.135,0.36,Low,0.242
192,15,0.211,2.17,85.39,-1.778,0.077,0.35,Low,0.178
193,13,1.027,0.23,95.54,-1.033,-0.4,0.213,Low,0.248
194,7,-1.941,2.96,93.7,-0.439,-0.841,0.601,High,0.655
195,13,-1.91,0.46,87.34,1.44,0.609,0.283,Medium,0.326
196,14,-0.397,3.86,94.22,-0.815,0.322,0.351,Low,0.18
197,8,0.878,0.72,80.53,-1.648,0.651,0.465,Low,0.14
198,13,-1.253,1.35,86.28,-0.703,-0.019,0.234,Medium,0.319
199,12,-2.406,1.08,73.19,-1.538,-0.156,0.353,High,0.545
200,7,0.457,4.89,82.92,-1.868,0.203,0.34,Low,0.189
201,13,0.195,0.34,93.3,-3.226,0.627,0.627,Low,0.109
202,14,-0.872,2.08,74.11,0.139,0.084,0.137,Medium,0.3
203,16,-0.788,0.38,71.39,-1.137,0.601,0.078,Low,0.235
204,16,-0.776,3.05,80.97,1.933,-0.303,0.279,Medium,0.38
205,6,0.088,5.89,77.73,-2.895,0.119,0.293,Low,0.217
206,8,-0.501,1.43,86.49,-1.084,0.165,0.034,Low,0.195
207,14,0.395,1.67,75.47,3.626,0.813,0.326,Low,0.136
208,14,-2.284,6.56,97.18,-1.879,0.304,0.039,High,0.382
209,14,-0.685,1.84,67.1,-0.473,1.0,0.242,Low,0.22
210,25,-0.901,1.67,92.54,-2.432,-0.474,0.386,Medium,0.406
211,14,-0.205,2.16,72.35,-2.697,0.265,0.114,Low,0.21
212,17,-0.43,2.92,62.04,3.095,0.29,0.359,Medium,0.291
213,16,0.638,0.28,82.38,0.342,0.51,0.225,Low,0.126
214,15,-1.487,4.3,77.45,0.267,-0.207,0.296,High,0.454
215,11,0.036,1.43,68.9,-3.393,1.0,0.358,Low,0.141
216,15,0.447,0.19,63.19,0.717,0.206,0.264,Low,0.223
217,9,1.485,3.86,79.92,2.315,-0.344,0.384,Medium,0.318
218,11,-0.385,1.18,89.76,2.299,0.192,0.344,Low,0.191
219,10,0.26,0.26,85.85,1.337,0.043,0.425,Low,0.175
220,12,-1.443,2.51,80.57,-2.259,1.0,0.045,Medium,0.251
221,21,-1.914,5.3,84.79,0.626,0.725,0.512,Medium,0.37
222,5,0.676,5.47,79.73,1.335,0.225,0.268,Low,0.196
223,15,-0.004,7.91,65.7,-3.589,0.144,0.153,Low,0.257
224,6,0.943,5.06,65.79,-2.243,0.676,0.117,Low,0.185
225,10,-1.099,0.01,77.97,1.776,0.699,0.163,Medium,0.243
226,16,0.416,1.2,78.39,1.752,-1.0,0.308,Medium,0.497
227,12,1.495,4.27,88.51,-3.097,0.521,0.191,Low,0.125
228,8,0.336,1.14,87.57,1.59,0.214,0.436,Low,0.158
229,9,0.221,2.3,86.05,0.191,-0.456,0.135,Low,0.303
230,15,0.007,2.33,77.2,1.562,0.64,0.341,Low,0.152
231,9,-1.257,1.14,66.19,-1.269,1.0,0.389,Medium,0.297
232,13,1.084,5.87,84.12,1.29,0.478,0.344,Low,0.165
233,12,-0.489,1.75,85.25,1.688,0.75,0.223,Low,0.158
234,9,0.404,1.56,56.11,-0.703,1.0,0.179,Low,0.171
235,21,-1.25,10.0,71.66,0.036,-0.215,0.38,High,0.488
236,15,-0.944,1.7,73.09,-1.297,-0.729,0.202,Medium,0.538
237,4,1.148,0.49,81.18,3.303,0.528,0.211,Low,0.128
238,13,-0.278,1.8,71.97,-0.241,0.076,0.203,Low,0.242
239,9,1.163,4.21,79.62,-1.844,-0.487,0.447,Medium,0.369
240,15,-0.063,3.75,77.89,-1.432,0.161,0.397,Low,0.215
241,9,-1.474,3.88,78.41,0.254,0.564,0.072,Medium,0.314
242,12,0.714,3.08,72.84,1.507,0.126,0.378,Low,0.223
243,14,-0.472,0.73,73.61,-2.672,-0.193,0.068,Medium,0.307
244,15,0.559,4.95,69.2,3.695,0.088,0.262,Low,0.241
245,7,0.02,5.6,83.8,0.617,0.19,0.398,Low,0.196
246,11,-1.234,0.54,85.71,0.933,-0.765,0.237,High,0.536
247,10,0.131,0.35,72.29,-0.194,0.129,0.035,Low,0.183
248,9,1.757,9.28,95.21,0.039,-0.472,0.498,Medium,0.345
249,19,0.394,5.07,76.85,-0.297,0.53,0.449,Low,0.188
250,14,-0.046,5.59,95.3,2.036,-0.581,0.277,Medium,0.344
251,7,0.86,5.44,73.58,-0.016,0.706,0.298,Low,0.172
252,16,0.169,1.95,59.73,1.534,-0.005,0.413,Low,0.277
253,20,0.168,2.6,84.02,-0.868,-0.071,0.108,Low,0.195
254,16,-0.873,1.97,82.49,0.391,0.347,0.143,Medium,0.246
255,6,0.187,0.13,80.34,-1.608,-0.233,0.211,Low,0.249
256,10,0.828,3.42,73.58,2.433,0.339,0.764,Low,0.232
257,17,-0.669,1.76,79.65,-1.667,-0.166,0.306,Medium,0.326
258,9,1.14,2.61,74.89,-0.65,-0.078,0.384,Low,0.249
259,14,-0.073,1.75,76.98,-0.63,0.403,0.374,Low,0.183
260,15,-0.71,1.69,88.42,-0.708,-0.369,0.32,Medium,0.362
261,8,0.798,0.47,81.84,1.445,-0.432,0.061,Low,0.293
262,12,-0.229,0.82,86.1,-0.633,0.324,0.08,Low,0.15
263,1,0.608,0.43,77.68,2.788,0.187,0.399,Low,0.187
264,8,-0.233,0.54,76.58,-1.637,0.284,0.409,Low,0.21
265,11,-0.048,9.03,68.47,0.339,0.364,0.261,Low,0.246
266,7,0.395,0.42,76.3,-1.552,0.229,0.251,Low,0.176
267,19,0.233,0.78,50.0,0.842,0.504,0.065,Low,0.227
268,6,-1.596,2.23,74.1,-0.032,0.249,0.135,Medium,0.368
269,10,-0.897,2.36,79.18,-0.31,-0.804,0.368,High,0.551
270,13,0.744,0.42,85.64,2.377,-0.674,0.227,Medium,0.365
271,18,-0.106,3.95,77.31,-1.309,1.0,0.4,Low,0.143
272,6,-0.419,3.85,83.48,1.173,0.2,0.326,Medium,0.229
273,17,-1.087,0.68,58.2,-1.538,0.675,0.281,Medium,0.324
274,12,-0.864,0.85,79.43,0.225,0.027,0.116,Medium,0.277
275,8,-1.617,6.95,63.2,-2.391,0.171,0.235,High,0.45
276,14,-0.081,4.37,67.92,-1.325,-0.027,0.242,Low,0.266
277,13,-0.479,2.99,78.13,-0.164,1.0,0.268,Low,0.167
278,10,-0.773,0.21,92.76,3.629,0.327,0.187,Low,0.195
279,12,-0.054,1.35,83.71,0.202,-0.067,0.331,Low,0.211
280,10,0.291,2.05,80.18,3.309,-0.626,0.562,Medium,0.404
281,12,1.675,0.52,79.8,0.441,1.0,0.181,Low,0.085
282,15,-1.21,1.49,72.86,-0.774,0.118,0.686,Medium,0.379
283,18,0.928,2.3,74.56,3.079,0.572,0.392,Low,0.171
284,7,0.778,0.99,84.27,0.874,0.628,0.154,Low,0.107
285,21,-0.623,3.8,66.15,-1.285,-0.031,0.135,Medium,0.325
286,4,0.163,4.59,85.93,0.941,0.536,0.547,Low,0.161
287,11,-0.366,0.98,76.11,-0.585,-0.102,0.074,Low,0.261
288,14,0.149,4.56,88.26,-3.978,-0.295,0.225,Low,0.267
289,13,1.207,0.27,89.61,1.872,0.782,0.227,Low,0.075
290,10,0.484,4.55,63.27,2.19,0.121,0.266,Low,0.256
291,11,0.407,0.41,74.18,3.676,0.459,0.397,Low,0.173
292,10,-0.344,0.22,71.44,0.844,0.405,0.155,Low,0.207
293,10,-1.187,2.57,61.87,-0.497,0.519,0.215,Medium,0.344
294,15,-0.167,1.6,69.67,1.67,-0.578,0.325,Medium,0.424
295,13,0.965,5.96,100.0,1.7,-0.093,0.323,Low,0.183
296,9,-1.222,1.13,86.1,3.277,0.038,0.481,Medium,0.325
297,16,-0.844,0.85,99.17,-0.089,-0.216,0.101,Medium,0.274
298,13,0.101,1.74,88.29,-0.331,0.415,0.385,Low,0.136
299,15,-0.788,1.52,72.58,-1.431,0.793,0.238,Low,0.231
300,15,-0.634,1.06,76.18,1.075,0.873,0.336,Low,0.198
301,9,-0.339,2.96,85.88,-3.097,0.03,0.178,Low,0.211
302,10,-1.092,3.56,84.38,1.552,0.346,0.412,Medium,0.295
303,15,-0.779,4.79,74.23,1.176,0.423,0.161,Medium,0.273
304,14,0.563,9.02,64.9,1.17,0.511,0.382,Low,0.248
305,12,-1.046,0.78,100.0,0.276,-0.239,0.365,Medium,0.321
306,12,-1.278,3.15,78.59,3.066,1.0,0.205,Medium,0.254
307,17,-0.504,1.25,76.74,1.744,0.663,0.635,Low,0.226
308,10,0.586,2.83,81.13,-1.214,0.676,0.372,Low,0.14
309,14,-0.158,1.62,77.57,-1.178,0.802,0.155,Low,0.135
310,11,-0.372,10.0,81.23,-1.759,0.467,0.297,Medium,0.239
311,11,0.035,3.26,92.87,1.103,-0.314,0.158,Low,0.245
312,16,-1.397,7.62,78.75,-2.0,0.131,0.356,High,0.389
313,15,0.396,4.5,68.37,2.167,-0.626,0.415,Medium,0.447
314,15,0.307,5.83,78.38,2.646,0.408,0.147,Low,0.175
315,17,-0.327,4.21,75.36,-1.758,0.115,0.06,Low,0.236
316,12,0.805,1.54,94.24,-0.371,0.18,0.047,Low,0.111
317,15,-0.902,0.73,91.71,0.033,0.802,0.528,Low,0.197
318,11,0.902,1.16,81.08,1.768,-0.028,0.304,Low,0.199
319,13,0.124,0.05,67.21,3.219,0.074,0.3,Low,0.224
320,11,-0.269,1.86,67.74,-3.371,0.211,0.222,Low,0.244
321,12,-0.016,1.76,80.15,-0.636,-0.72,0.164,Medium,0.402
322,14,-0.086,1.86,83.36,-0.532,0.067,0.068,Low,0.172
323,9,0.976,9.13,76.25,-2.801,-1.0,0.55,Medium,0.569
324,20,-0.861,6.06,75.2,-0.97,-0.093,0.118,Medium,0.352
325,8,-0.61,0.44,74.07,0.856,0.628,0.341,Low,0.223
326,7,0.829,1.15,79.77,-0.557,0.424,0.346,Low,0.157
327,17,-0.476,1.38,56.17,-3.089,-0.097,0.21,Medium,0.353
328,15,0.72,1.12,68.99,5.748,0.22,0.143,Low,0.198
329,14,1.36,4.0,73.73,0.532,-0.337,0.326,Medium,0.334
330,15,-0.321,1.86,92.08,0.223,0.199,0.178,Low,0.166
331,12,0.545,2.12,71.86,-2.196,1.0,0.12,Low,0.117
332,8,-0.923,4.79,81.8,0.521,1.0,0.142,Low,0.207
333,12,0.604,4.1,82.27,-0.328,0.226,0.201,Low,0.174
334,9,0.16,0.35,92.98,-3.777,0.28,0.07,Low,0.101
335,16,0.378,3.13,92.63,-2.141,-0.29,0.034,Low,0.228
336,11,-0.516,1.43,79.42,1.59,-0.201,0.052,Medium,0.298
337,9,-1.329,0.87,75.25,3.888,0.381,0.266,Medium,0.323
338,11,0.403,0.13,73.36,0.734,-0.062,0.033,Low,0.208
339,14,-1.651,1.67,77.59,2.206,0.652,0.038,Medium,0.313
340,10,-0.254,1.1,75.66,-0.312,0.985,0.467,Low,0.156
341,9,0.753,0.72,85.54,-0.173,0.366,0.14,Low,0.125
342,13,0.154,2.97,84.2,2.182,0.251,0.264,Low,0.163
343,13,1.559,3.67,85.92,3.326,-0.64,0.436,Medium,0.389
344,10,0.82,0.7,92.59,2.602,0.574,0.161,Low,0.083
345,10,-0.523,0.13,98.63,-2.133,-0.372,0.429,Medium,0.306
346,13,0.022,4.72,81.25,-0.134,-0.009,0.267,Low,0.211
347,6,-0.038,0.03,90.99,0.555,0.68,0.339,Low,0.092
348,6,-1.266,6.92,76.48,-0.519,0.715,0.501,Medium,0.332
349,9,-0.752,2.47,91.85,0.776,-0.033,0.185,Medium,0.249
350,11,-0.449,0.97,90.62,1.641,-0.004,0.367,Medium,0.215
351,13,-1.629,0.71,90.08,2.006,-0.15,0.016,Medium,0.368
352,18,0.038,0.02,80.94,3.372,-0.399,0.036,Low,0.282
353,15,-0.199,0.67,73.32,-0.659,-0.117,0.357,Low,0.276
354,11,-1.338,0.37,66.05,-2.728,-0.607,0.199,High,0.564
355,12,0.323,2.37,79.6,0.716,0.542,0.276,Low,0.148
356,8,0.573,0.46,95.33,3.768,0.397,0.116,Low,0.086
357,12,0.182,1.88,76.9,-0.954,0.48,0.347,Low,0.166
358,11,-0.259,2.23,87.85,1.374,-0.277,0.515,Medium,0.302
359,13,0.473,0.88,88.44,1.391,-0.398,0.238,Low,0.277
360,9,0.544,0.09,77.16,0.383,0.227,0.28,Low,0.174
361,14,0.246,0.09,93.16,0.014,0.232,0.278,Low,0.119
362,18,-0.66,0.07,50.91,-1.847,0.126,0.134,Medium,0.338
363,12,0.221,3.36,67.77,-4.563,0.055,0.207,Low,0.236
364,14,0.956,0.96,70.84,-2.224,1.0,0.067,Low,0.109
365,15,-0.477,3.98,71.8,-0.781,0.413,0.627,Medium,0.279
366,10,1.678,1.41,83.36,2.195,1.0,0.368,Low,0.093
367,13,-0.421,1.51,82.9,-0.206,0.834,0.349,Low,0.158
368,12,0.026,1.8,83.94,-1.038,1.0,0.283,Low,0.087
369,12,-0.538,3.12,85.96,-1.782,-0.337,0.667,Medium,0.376
370,9,0.179,0.8,70.5,1.314,0.497,0.026,Low,0.155
371,12,-1.394,0.32,67.82,2.717,-0.016,0.09,Medium,0.38
372,14,-0.437,2.03,83.96,2.127,-0.632,0.448,Medium,0.435
373,18,-0.874,0.99,73.7,1.212,0.948,0.486,Low,0.238
374,16,0.108,1.46,64.3,-2.951,0.053,0.235,Low,0.239
375,21,0.796,2.6,89.71,-0.703,-0.328,0.573,Medium,0.288
376,9,0.517,1.7,93.95,3.895,-0.007,0.341,Low,0.155
377,15,-1.897,2.42,95.57,2.244,-0.198,0.689,High,0.457
378,13,1.634,1.96,81.87,-3.075,-0.147,0.44,Low,0.247
